scalar	스칼라	Scalar	linear-algebra	evergreen
vector	벡터	Vector	linear-algebra	evergreen
matrix	행렬	Matrix	linear-algebra	evergreen
tensor	텐서	Tensor	linear-algebra	evergreen
matrix-multiplication	행렬 곱셈	Matrix Multiplication	linear-algebra	evergreen
dot-product	내적	Dot Product	linear-algebra	evergreen
outer-product	외적곱	Outer Product	linear-algebra	evergreen
matrix-transpose	전치행렬	Matrix Transpose	linear-algebra	evergreen
matrix-inverse	역행렬	Matrix Inverse	linear-algebra	evergreen
determinant	행렬식	Determinant	linear-algebra	evergreen
matrix-rank	행렬의 계수	Matrix Rank	linear-algebra	evergreen
basis-vector	기저 벡터	Basis Vector	linear-algebra	evergreen
vector-space	벡터 공간	Vector Space	linear-algebra	evergreen
linear-transformation	선형 변환	Linear Transformation	linear-algebra	evergreen
eigenvalue-eigenvector	고윳값과 고유벡터	Eigenvalue and Eigenvector	linear-algebra	evergreen
eigendecomposition	고유분해	Eigendecomposition	linear-algebra	evergreen
singular-value-decomposition	특잇값 분해	Singular Value Decomposition	linear-algebra	evergreen
vector-norm	벡터 노름	Vector Norm	linear-algebra	evergreen
orthogonality	직교성	Orthogonality	linear-algebra	evergreen
vector-projection	벡터 사영	Vector Projection	linear-algebra	evergreen
derivative	미분	Derivative	calculus-optimization	evergreen
partial-derivative	편미분	Partial Derivative	calculus-optimization	evergreen
gradient	기울기	Gradient	calculus-optimization	evergreen
jacobian-matrix	야코비 행렬	Jacobian Matrix	calculus-optimization	evergreen
hessian-matrix	헤세 행렬	Hessian Matrix	calculus-optimization	evergreen
chain-rule	연쇄 법칙	Chain Rule	calculus-optimization	evergreen
taylor-expansion	테일러 전개	Taylor Expansion	calculus-optimization	evergreen
multivariable-calculus	다변수 미적분학	Multivariable Calculus	calculus-optimization	evergreen
directional-derivative	방향 미분	Directional Derivative	calculus-optimization	evergreen
optimization	최적화	Optimization	calculus-optimization	evergreen
convex-optimization	볼록 최적화	Convex Optimization	calculus-optimization	evergreen
convex-function	볼록 함수	Convex Function	calculus-optimization	evergreen
objective-function	목적 함수	Objective Function	calculus-optimization	evergreen
constrained-optimization	제약 최적화	Constrained Optimization	calculus-optimization	evergreen
lagrange-multiplier	라그랑주 승수법	Lagrange Multiplier	calculus-optimization	evergreen
line-search	선 탐색	Line Search	calculus-optimization	evergreen
