vision-language-model	비전-언어 모델	Vision-Language Model	vision	periodic
computer-vision	컴퓨터 비전	Computer Vision	vision	evergreen
image-classification	이미지 분류	Image Classification	vision	evergreen
object-detection	객체 탐지	Object Detection	vision	evergreen
image-segmentation	이미지 분할	Image Segmentation	vision	evergreen
image-captioning	이미지 캡셔닝	Image Captioning	vision	evergreen
visual-question-answering	시각 질의응답	Visual Question Answering	vision	evergreen
visual-grounding	시각 근거화	Visual Grounding	vision	periodic
image-embedding	이미지 임베딩	Image Embedding	vision	evergreen
contrastive-language-image-pretraining	대조 언어-이미지 사전학습	Contrastive Language-Image Pretraining	vision	evergreen
visual-encoder	시각 인코더	Visual Encoder	vision	evergreen
image-patch	이미지 패치	Image Patch	vision	evergreen
feature-pyramid-network	특성 피라미드 네트워크	Feature Pyramid Network	vision	evergreen
region-proposal-network	영역 제안 네트워크	Region Proposal Network	vision	evergreen
zero-shot-image-classification	제로샷 이미지 분류	Zero-Shot Image Classification	vision	periodic
open-vocabulary-detection	개방형 어휘 객체 탐지	Open-Vocabulary Detection	vision	periodic
image-retrieval	이미지 검색	Image Retrieval	vision	evergreen
visual-reasoning	시각 추론	Visual Reasoning	vision	periodic
spatial-reasoning	공간 추론	Spatial Reasoning	vision	periodic
pixel-representation	픽셀 표현	Pixel Representation	vision	evergreen
speech-recognition	음성 인식	Automatic Speech Recognition	audio-speech	periodic
text-to-speech	음성 합성	Text-to-Speech	audio-speech	periodic
audio-model	오디오 모델	Audio Model	audio-speech	periodic
speech-to-text	음성-텍스트 변환	Speech-to-Text	audio-speech	periodic
speaker-diarization	화자 분리	Speaker Diarization	audio-speech	periodic
voice-activity-detection	음성 활동 탐지	Voice Activity Detection	audio-speech	evergreen
speaker-recognition	화자 인식	Speaker Recognition	audio-speech	evergreen
speech-translation	음성 번역	Speech Translation	audio-speech	periodic
audio-embedding	오디오 임베딩	Audio Embedding	audio-speech	periodic
spectrogram	스펙트로그램	Spectrogram	audio-speech	evergreen
mel-spectrogram	멜 스펙트로그램	Mel Spectrogram	audio-speech	evergreen
neural-vocoder	신경 보코더	Neural Vocoder	audio-speech	periodic
text-audio-model	텍스트-오디오 모델	Text-Audio Model	audio-speech	periodic
audio-captioning	오디오 캡셔닝	Audio Captioning	audio-speech	periodic
speech-language-model	음성 언어 모델	Speech Language Model	audio-speech	fast-changing
video-understanding	비디오 이해	Video Understanding	video	periodic
video-generation	비디오 생성	Video Generation	video	fast-changing
video-classification	비디오 분류	Video Classification	video	evergreen
action-recognition	행동 인식	Action Recognition	video	evergreen
temporal-modeling	시간적 모델링	Temporal Modeling	video	evergreen
video-captioning	비디오 캡셔닝	Video Captioning	video	periodic
video-question-answering	비디오 질의응답	Video Question Answering	video	periodic
frame-sampling	프레임 샘플링	Frame Sampling	video	evergreen
optical-flow	광학 흐름	Optical Flow	video	evergreen
temporal-attention	시간 어텐션	Temporal Attention	video	periodic
video-diffusion	비디오 확산	Video Diffusion	video	fast-changing
world-simulation-model	세계 시뮬레이션 모델	World Simulation Model	video	fast-changing
long-video-understanding	장시간 비디오 이해	Long-Video Understanding	video	fast-changing
video-tokenization	비디오 토큰화	Video Tokenization	video	periodic
lip-reading	독순술 인식	Lip Reading	video	evergreen
multimodal-model	멀티모달 모델	Multimodal Model	cross-modal-learning	periodic
multimodal-embedding	멀티모달 임베딩	Multimodal Embedding	cross-modal-learning	periodic
modality	모달리티	Modality	cross-modal-learning	evergreen
multimodal-fusion	멀티모달 융합	Multimodal Fusion	cross-modal-learning	evergreen
early-fusion	초기 융합	Early Fusion	cross-modal-learning	evergreen
late-fusion	후기 융합	Late Fusion	cross-modal-learning	evergreen
cross-modal-attention	교차모달 어텐션	Cross-Modal Attention	cross-modal-learning	periodic
cross-modal-alignment	교차모달 정렬	Cross-Modal Alignment	cross-modal-learning	periodic
multimodal-contrastive-pretraining	멀티모달 대조 사전학습	Multimodal Contrastive Pretraining	cross-modal-learning	periodic
joint-embedding-space	공동 임베딩 공간	Joint Embedding Space	cross-modal-learning	evergreen
multimodal-instruction-tuning	멀티모달 지시 튜닝	Multimodal Instruction Tuning	cross-modal-learning	periodic
interleaved-multimodal-data	교차 배열 멀티모달 데이터	Interleaved Multimodal Data	cross-modal-learning	periodic
modality-gap	모달리티 격차	Modality Gap	cross-modal-learning	periodic
modality-projection	모달리티 투영	Modality Projection	cross-modal-learning	periodic
q-former	Q-Former	Querying Transformer	cross-modal-learning	periodic
perceiver-resampler	Perceiver 리샘플러	Perceiver Resampler	cross-modal-learning	periodic
multimodal-tokenizer	멀티모달 토크나이저	Multimodal Tokenizer	cross-modal-learning	fast-changing
image-token	이미지 토큰	Image Token	cross-modal-learning	periodic
audio-token	오디오 토큰	Audio Token	cross-modal-learning	periodic
modality-adapter	모달리티 어댑터	Modality Adapter	cross-modal-learning	periodic
diffusion-model	확산 모델	Diffusion Model	generation	evergreen
image-generation	이미지 생성	Image Generation	generation	periodic
latent-diffusion-model	잠재 확산 모델	Latent Diffusion Model	generation	evergreen
text-to-image-generation	텍스트-이미지 생성	Text-to-Image Generation	generation	periodic
image-to-image-generation	이미지-이미지 생성	Image-to-Image Generation	generation	periodic
image-inpainting	이미지 인페인팅	Image Inpainting	generation	periodic
image-outpainting	이미지 아웃페인팅	Image Outpainting	generation	periodic
controlnet	ControlNet	ControlNet	generation	periodic
classifier-free-guidance	분류기 없는 가이던스	Classifier-Free Guidance	generation	evergreen
score-based-generative-model	점수 기반 생성 모델	Score-Based Generative Model	generation	evergreen
diffusion-scheduler	확산 스케줄러	Diffusion Scheduler	generation	periodic
diffusion-denoising-step	확산 잡음 제거 단계	Diffusion Denoising Step	generation	evergreen
text-to-video-generation	텍스트-비디오 생성	Text-to-Video Generation	generation	fast-changing
text-to-audio-generation	텍스트-오디오 생성	Text-to-Audio Generation	generation	periodic
