inference	추론	Inference	decoding	evergreen
logit	로짓	Logit	decoding	evergreen
softmax	소프트맥스	Softmax	decoding	evergreen
temperature	생성 온도	Temperature	decoding	evergreen
top-k-sampling	Top-k 샘플링	Top-k Sampling	decoding	evergreen
top-p-sampling	Top-p 샘플링	Top-p Sampling	decoding	evergreen
greedy-decoding	그리디 디코딩	Greedy Decoding	decoding	evergreen
beam-search	빔 탐색	Beam Search	decoding	evergreen
multinomial-sampling	다항 표본추출	Multinomial Sampling	decoding	evergreen
typical-sampling	전형성 샘플링	Typical Sampling	decoding	periodic
min-p-sampling	Min-p 샘플링	Min-P Sampling	decoding	periodic
repetition-penalty	반복 페널티	Repetition Penalty	decoding	evergreen
frequency-penalty	빈도 페널티	Frequency Penalty	decoding	periodic
presence-penalty	존재 페널티	Presence Penalty	decoding	periodic
length-penalty	길이 페널티	Length Penalty	decoding	evergreen
stop-sequence	중지 시퀀스	Stop Sequence	decoding	evergreen
constrained-decoding	제약 디코딩	Constrained Decoding	decoding	periodic
contrastive-search	대조 탐색	Contrastive Search	decoding	periodic
diverse-beam-search	다양성 빔 탐색	Diverse Beam Search	decoding	evergreen
token-sampling	토큰 샘플링	Token Sampling	decoding	evergreen
model-serving	모델 서빙	Model Serving	serving	periodic
inference-server	추론 서버	Inference Server	serving	periodic
online-inference	온라인 추론	Online Inference	serving	evergreen
batch-inference	배치 추론	Batch Inference	serving	evergreen
inference-endpoint	추론 엔드포인트	Inference Endpoint	serving	periodic
request-scheduler	요청 스케줄러	Request Scheduler	serving	periodic
inference-autoscaling	추론 자동 확장	Inference Autoscaling	serving	periodic
inference-load-balancing	추론 부하 분산	Inference Load Balancing	serving	periodic
model-replica	모델 복제본	Model Replica	serving	evergreen
multi-model-serving	다중 모델 서빙	Multi-Model Serving	serving	periodic
model-gateway	모델 게이트웨이	Model Gateway	serving	periodic
streaming-generation	스트리밍 생성	Streaming Generation	serving	periodic
time-to-first-token	첫 토큰 시간	Time to First Token	serving	periodic
inter-token-latency	토큰 간 지연 시간	Inter-Token Latency	serving	periodic
prefill-phase	프리필 단계	Prefill Phase	serving	periodic
decode-phase	디코드 단계	Decode Phase	serving	periodic
request-queue	요청 대기열	Request Queue	serving	evergreen
admission-control	수락 제어	Admission Control	serving	evergreen
serverless-inference	서버리스 추론	Serverless Inference	serving	periodic
edge-inference	엣지 추론	Edge Inference	serving	periodic
batching	배칭	Batching	cache-batching	evergreen
kv-cache	KV 캐시	Key-Value Cache	cache-batching	periodic
continuous-batching	연속 배칭	Continuous Batching	cache-batching	periodic
