artificial-intelligence	인공지능	Artificial Intelligence	history-paradigms	evergreen
machine-learning	머신러닝	Machine Learning	history-paradigms	evergreen
deep-learning	딥러닝	Deep Learning	history-paradigms	evergreen
symbolic-ai	기호주의 인공지능	Symbolic Artificial Intelligence	history-paradigms	evergreen
connectionism	연결주의	Connectionism	history-paradigms	evergreen
good-old-fashioned-ai	고전적 인공지능	Good Old-Fashioned Artificial Intelligence	history-paradigms	evergreen
ai-winter	인공지능 겨울	AI Winter	history-paradigms	evergreen
expert-system	전문가 시스템	Expert System	history-paradigms	evergreen
computational-intelligence	계산지능	Computational Intelligence	history-paradigms	evergreen
foundation-model	파운데이션 모델	Foundation Model	history-paradigms	periodic
supervised-learning	지도학습	Supervised Learning	learning-paradigms	evergreen
unsupervised-learning	비지도학습	Unsupervised Learning	learning-paradigms	evergreen
semi-supervised-learning	준지도학습	Semi-Supervised Learning	learning-paradigms	evergreen
self-supervised-learning	자기지도학습	Self-Supervised Learning	learning-paradigms	evergreen
reinforcement-learning	강화학습	Reinforcement Learning	learning-paradigms	evergreen
active-learning	능동학습	Active Learning	learning-paradigms	evergreen
online-learning	온라인 학습	Online Learning	learning-paradigms	evergreen
batch-learning	배치 학습	Batch Learning	learning-paradigms	evergreen
transfer-learning	전이학습	Transfer Learning	learning-paradigms	evergreen
multi-task-learning	다중 과제 학습	Multi-Task Learning	learning-paradigms	evergreen
meta-learning	메타학습	Meta-Learning	learning-paradigms	evergreen
few-shot-learning	퓨샷 학습	Few-Shot Learning	learning-paradigms	evergreen
zero-shot-learning	제로샷 학습	Zero-Shot Learning	learning-paradigms	evergreen
curriculum-learning	커리큘럼 학습	Curriculum Learning	learning-paradigms	evergreen
continual-learning	지속학습	Continual Learning	learning-paradigms	periodic
dataset	데이터셋	Dataset	data-model-basics	evergreen
training-data	학습 데이터	Training Data	data-model-basics	evergreen
validation-set	검증 데이터셋	Validation Set	data-model-basics	evergreen
test-set	테스트 데이터셋	Test Set	data-model-basics	evergreen
generative-ai	생성형 인공지능	Generative AI	data-model-basics	periodic
feature	특성	Feature	data-model-basics	evergreen
label	레이블	Label	data-model-basics	evergreen
target-variable	목표 변수	Target Variable	data-model-basics	evergreen
model	모델	Model	data-model-basics	evergreen
model-capacity	모델 용량	Model Capacity	data-model-basics	evergreen
hypothesis	가설	Hypothesis	data-model-basics	evergreen
hypothesis-space	가설 공간	Hypothesis Space	data-model-basics	evergreen
inductive-bias	귀납적 편향	Inductive Bias	data-model-basics	evergreen
generalization	일반화	Generalization	data-model-basics	evergreen
train-validation-test-split	학습·검증·테스트 분할	Train-Validation-Test Split	data-model-basics	evergreen
data-distribution	데이터 분포	Data Distribution	data-model-basics	evergreen
data-preprocessing	데이터 전처리	Data Preprocessing	data-model-basics	evergreen
feature-engineering	특성 공학	Feature Engineering	data-model-basics	evergreen
data-leakage	데이터 누수	Data Leakage	data-model-basics	evergreen
concept-drift	개념 드리프트	Concept Drift	data-model-basics	periodic
algorithm	알고리즘	Algorithm	classical-ml	evergreen
regression	회귀	Regression	classical-ml	evergreen
linear-regression	선형 회귀	Linear Regression	classical-ml	evergreen
logistic-regression	로지스틱 회귀	Logistic Regression	classical-ml	evergreen
classification	분류	Classification	classical-ml	evergreen
clustering	군집화	Clustering	classical-ml	evergreen
k-means-clustering	K-평균 군집화	K-Means Clustering	classical-ml	evergreen
hierarchical-clustering	계층적 군집화	Hierarchical Clustering	classical-ml	evergreen
decision-tree	결정 트리	Decision Tree	classical-ml	evergreen
random-forest	랜덤 포레스트	Random Forest	classical-ml	evergreen
gradient-boosting	그래디언트 부스팅	Gradient Boosting	classical-ml	evergreen
support-vector-machine	서포트 벡터 머신	Support Vector Machine	classical-ml	evergreen
naive-bayes-classifier	나이브 베이즈 분류기	Naive Bayes Classifier	classical-ml	evergreen
k-nearest-neighbors	K-최근접 이웃	K-Nearest Neighbors	classical-ml	evergreen
principal-component-analysis	주성분 분석	Principal Component Analysis	classical-ml	evergreen
independent-component-analysis	독립 성분 분석	Independent Component Analysis	classical-ml	evergreen
anomaly-detection	이상 탐지	Anomaly Detection	classical-ml	evergreen
ensemble-learning	앙상블 학습	Ensemble Learning	classical-ml	evergreen
bagging	배깅	Bagging	classical-ml	evergreen
boosting	부스팅	Boosting	classical-ml	evergreen
representation-learning	표현학습	Representation Learning	representation-learning	evergreen
latent-representation	잠재 표현	Latent Representation	representation-learning	evergreen
feature-learning	특성 학습	Feature Learning	representation-learning	evergreen
manifold-learning	다양체 학습	Manifold Learning	representation-learning	evergreen
disentangled-representation	분리 표현	Disentangled Representation	representation-learning	periodic
metric-learning	거리 학습	Metric Learning	representation-learning	evergreen
contrastive-learning	대조학습	Contrastive Learning	representation-learning	evergreen
