accuracy	정확도	Accuracy	metrics	evergreen
metric	평가 지표	Evaluation Metric	metrics	evergreen
precision-recall	정밀도와 재현율	Precision and Recall	metrics	evergreen
f1-score	F1 점수	F1 Score	metrics	evergreen
specificity	특이도	Specificity	metrics	evergreen
evaluation	모델 평가	Model Evaluation	metrics	evergreen
confusion-matrix	혼동 행렬	Confusion Matrix	metrics	evergreen
roc-curve	ROC 곡선	Receiver Operating Characteristic Curve	metrics	evergreen
area-under-curve	곡선 아래 면적	Area Under the Curve	metrics	evergreen
precision-recall-curve	정밀도-재현율 곡선	Precision-Recall Curve	metrics	evergreen
log-loss	로그 손실	Log Loss	metrics	evergreen
brier-score	브라이어 점수	Brier Score	metrics	evergreen
expected-calibration-error	기대 보정 오차	Expected Calibration Error	metrics	evergreen
exact-match	완전 일치	Exact Match	metrics	evergreen
bleu-score	BLEU 점수	BLEU Score	metrics	evergreen
rouge-score	ROUGE 점수	ROUGE Score	metrics	evergreen
meteor-score	METEOR 점수	METEOR Score	metrics	evergreen
bertscore	BERTScore	BERTScore	metrics	periodic
pass-at-k	Pass@K	Pass at K	metrics	periodic
win-rate	승률	Win Rate	metrics	evergreen
benchmark	벤치마크	Benchmark	benchmarks	periodic
benchmark-dataset	벤치마크 데이터셋	Benchmark Dataset	benchmarks	periodic
leaderboard	리더보드	Leaderboard	benchmarks	fast-changing
benchmark-suite	벤치마크 모음	Benchmark Suite	benchmarks	periodic
task-benchmark	과제 벤치마크	Task Benchmark	benchmarks	periodic
capability-benchmark	능력 벤치마크	Capability Benchmark	benchmarks	periodic
safety-benchmark	안전 벤치마크	Safety Benchmark	benchmarks	periodic
mmlu	MMLU	Massive Multitask Language Understanding	benchmarks	periodic
helm-benchmark	HELM 벤치마크	Holistic Evaluation of Language Models	benchmarks	periodic
big-bench	BIG-bench	Beyond the Imitation Game Benchmark	benchmarks	periodic
gpqa	GPQA	Graduate-Level Google-Proof Question and Answer Benchmark	benchmarks	periodic
humaneval	HumanEval	HumanEval	benchmarks	periodic
swe-bench	SWE-bench	SWE-bench	benchmarks	fast-changing
mteb	MTEB	Massive Text Embedding Benchmark	benchmarks	periodic
beir-benchmark	BEIR 벤치마크	Benchmarking Information Retrieval	benchmarks	periodic
imagenet	ImageNet	ImageNet	benchmarks	periodic
mlperf	MLPerf	MLPerf	benchmarks	fast-changing
benchmark-saturation	벤치마크 포화	Benchmark Saturation	benchmarks	periodic
dynamic-benchmark	동적 벤치마크	Dynamic Benchmark	benchmarks	periodic
benchmark-validity	벤치마크 타당도	Benchmark Validity	benchmarks	periodic
human-evaluation	인간 평가	Human Evaluation	human-evaluation	evergreen
