attention	어텐션	Attention	attention	evergreen
self-attention	셀프 어텐션	Self-Attention	attention	evergreen
cross-attention	크로스 어텐션	Cross-Attention	attention	evergreen
query-key-value	쿼리·키·값	Query, Key, Value	attention	evergreen
multi-head-attention	멀티헤드 어텐션	Multi-Head Attention	attention	evergreen
scaled-dot-product-attention	스케일드 닷프로덕트 어텐션	Scaled Dot-Product Attention	attention	evergreen
additive-attention	가산 어텐션	Additive Attention	attention	evergreen
dot-product-attention	닷프로덕트 어텐션	Dot-Product Attention	attention	evergreen
local-attention	로컬 어텐션	Local Attention	attention	evergreen
global-attention	글로벌 어텐션	Global Attention	attention	evergreen
sparse-attention	희소 어텐션	Sparse Attention	attention	evergreen
linear-attention	선형 어텐션	Linear Attention	attention	evergreen
multi-query-attention	멀티쿼리 어텐션	Multi-Query Attention	attention	evergreen
grouped-query-attention	그룹 쿼리 어텐션	Grouped-Query Attention	attention	periodic
sliding-window-attention	슬라이딩 윈도 어텐션	Sliding-Window Attention	attention	evergreen
bidirectional-attention	양방향 어텐션	Bidirectional Attention	attention	evergreen
encoder-decoder-attention	인코더-디코더 어텐션	Encoder-Decoder Attention	attention	evergreen
attention-score	어텐션 점수	Attention Score	attention	evergreen
attention-matrix	어텐션 행렬	Attention Matrix	attention	evergreen
attention-head	어텐션 헤드	Attention Head	attention	evergreen
feed-forward-network	피드포워드 네트워크	Feed-Forward Network	block-components	evergreen
residual-connection	잔차 연결	Residual Connection	block-components	evergreen
layer-normalization	레이어 정규화	Layer Normalization	block-components	evergreen
pre-normalization	프리 정규화	Pre-Normalization	block-components	evergreen
post-normalization	포스트 정규화	Post-Normalization	block-components	evergreen
rms-normalization	RMS 정규화	Root Mean Square Layer Normalization	block-components	evergreen
swiglu	SwiGLU	SwiGLU	block-components	evergreen
geglu	GEGLU	GEGLU	block-components	evergreen
token-embedding-layer	토큰 임베딩층	Token Embedding Layer	block-components	evergreen
output-projection	출력 투영	Output Projection	block-components	evergreen
language-modeling-head	언어 모델링 헤드	Language Modeling Head	block-components	evergreen
causal-mask	인과 마스크	Causal Mask	block-components	evergreen
padding-mask	패딩 마스크	Padding Mask	block-components	evergreen
attention-mask	어텐션 마스크	Attention Mask	block-components	evergreen
key-value-projection	키·값 투영	Key-Value Projection	block-components	evergreen
transformer-block	트랜스포머 블록	Transformer Block	block-components	evergreen
encoder	인코더	Encoder	block-components	evergreen
decoder	디코더	Decoder	block-components	evergreen
encoder-decoder	인코더-디코더	Encoder-Decoder	block-components	evergreen
normalization-placement	정규화 배치	Normalization Placement	block-components	evergreen
transformer	트랜스포머	Transformer	architectures	evergreen
decoder-only-model	디코더 전용 모델	Decoder-Only Model	architectures	evergreen
encoder-only-transformer	인코더 전용 트랜스포머	Encoder-Only Transformer	architectures	evergreen
prefix-language-model	프리픽스 언어 모델	Prefix Language Model	architectures	evergreen
sequence-to-sequence-transformer	시퀀스-투-시퀀스 트랜스포머	Sequence-to-Sequence Transformer	architectures	evergreen
bert-architecture	BERT 아키텍처	BERT Architecture	architectures	evergreen
gpt-architecture	GPT 아키텍처	GPT Architecture	architectures	evergreen
t5-architecture	T5 아키텍처	T5 Architecture	architectures	evergreen
bart-architecture	BART 아키텍처	BART Architecture	architectures	evergreen
xlnet-architecture	XLNet 아키텍처	XLNet Architecture	architectures	evergreen
transformer-xl	Transformer-XL	Transformer-XL	architectures	evergreen
longformer	Longformer	Longformer	architectures	evergreen
bigbird	BigBird	BigBird	architectures	evergreen
performer	Performer	Performer	architectures	evergreen
reformer	Reformer	Reformer	architectures	evergreen
switch-transformer	스위치 트랜스포머	Switch Transformer	architectures	evergreen
retrieval-transformer	검색 결합 트랜스포머	Retrieval Transformer	architectures	periodic
memory-augmented-transformer	메모리 증강 트랜스포머	Memory-Augmented Transformer	architectures	periodic
hierarchical-transformer	계층형 트랜스포머	Hierarchical Transformer	architectures	evergreen
recurrent-memory-transformer	순환 메모리 트랜스포머	Recurrent Memory Transformer	architectures	periodic
positional-encoding	위치 인코딩	Positional Encoding	position-long-context	evergreen
absolute-position-encoding	절대 위치 인코딩	Absolute Position Encoding	position-long-context	evergreen
relative-position-encoding	상대 위치 인코딩	Relative Position Encoding	position-long-context	evergreen
rotary-position-embedding	회전 위치 임베딩	Rotary Position Embedding	position-long-context	evergreen
alibi-position-bias	ALiBi 위치 편향	Attention with Linear Biases	position-long-context	evergreen
