language-model	언어 모델	Language Model	language-modeling	evergreen
large-language-model	대규모 언어 모델	Large Language Model	language-modeling	periodic
small-language-model	소규모 언어 모델	Small Language Model	language-modeling	periodic
next-token-prediction	다음 토큰 예측	Next-Token Prediction	language-modeling	evergreen
completion	컴플리션	Completion	language-modeling	evergreen
autoregressive-language-model	자기회귀 언어 모델	Autoregressive Language Model	language-modeling	evergreen
masked-language-model	마스크 언어 모델	Masked Language Model	language-modeling	evergreen
causal-language-model	인과 언어 모델	Causal Language Model	language-modeling	evergreen
sequence-likelihood	시퀀스 우도	Sequence Likelihood	language-modeling	evergreen
n-gram-language-model	N-그램 언어 모델	N-Gram Language Model	language-modeling	evergreen
neural-language-model	신경 언어 모델	Neural Language Model	language-modeling	evergreen
conditional-language-model	조건부 언어 모델	Conditional Language Model	language-modeling	evergreen
multilingual-language-model	다국어 언어 모델	Multilingual Language Model	language-modeling	periodic
code-language-model	코드 언어 모델	Code Language Model	language-modeling	periodic
multimodal-language-model	멀티모달 언어 모델	Multimodal Language Model	language-modeling	periodic
token	토큰	Token	tokenization	evergreen
tokenization	토큰화	Tokenization	tokenization	evergreen
tokenizer	토크나이저	Tokenizer	tokenization	evergreen
vocabulary	어휘 집합	Vocabulary	tokenization	evergreen
byte-pair-encoding	바이트 페어 인코딩	Byte Pair Encoding	tokenization	evergreen
wordpiece	WordPiece	WordPiece	tokenization	evergreen
sentencepiece	SentencePiece	SentencePiece	tokenization	evergreen
unigram-language-model-tokenizer	유니그램 언어 모델 토크나이저	Unigram Language Model Tokenizer	tokenization	evergreen
character-tokenization	문자 단위 토큰화	Character Tokenization	tokenization	evergreen
byte-level-tokenization	바이트 단위 토큰화	Byte-Level Tokenization	tokenization	evergreen
subword-token	서브워드 토큰	Subword Token	tokenization	evergreen
special-token	특수 토큰	Special Token	tokenization	evergreen
beginning-end-token	시작·종료 토큰	Beginning and End Token	tokenization	evergreen
padding-token	패딩 토큰	Padding Token	tokenization	evergreen
out-of-vocabulary-token	미등록 토큰	Out-of-Vocabulary Token	tokenization	evergreen
parameter	파라미터	Parameter	scaling	evergreen
hyperparameter	하이퍼파라미터	Hyperparameter	scaling	evergreen
mixture-of-experts	전문가 혼합	Mixture of Experts	scaling	periodic
neural-scaling-law	신경망 스케일링 법칙	Neural Scaling Law	scaling	periodic
compute-optimal-training	계산 최적 학습	Compute-Optimal Training	scaling	periodic
parameter-count	파라미터 수	Parameter Count	scaling	evergreen
model-size	모델 크기	Model Size	scaling	evergreen
training-compute	학습 계산량	Training Compute	scaling	evergreen
inference-compute	추론 계산량	Inference Compute	scaling	periodic
dense-language-model	밀집 언어 모델	Dense Language Model	scaling	evergreen
sparse-language-model	희소 언어 모델	Sparse Language Model	scaling	evergreen
expert-routing	전문가 라우팅	Expert Routing	scaling	periodic
expert-capacity-factor	전문가 용량 계수	Expert Capacity Factor	scaling	periodic
emergent-ability	창발적 능력	Emergent Ability	scaling	periodic
scaling-efficiency	스케일링 효율	Scaling Efficiency	scaling	periodic
prompt	프롬프트	Prompt	prompting-icl	evergreen
system-prompt	시스템 프롬프트	System Prompt	prompting-icl	periodic
user-prompt	사용자 프롬프트	User Prompt	prompting-icl	evergreen
