prompt-injection	프롬프트 인젝션	Prompt Injection	model-app-security	fast-changing
indirect-prompt-injection	간접 프롬프트 인젝션	Indirect Prompt Injection	model-app-security	fast-changing
jailbreak	탈옥 공격	Jailbreak	model-app-security	fast-changing
guardrail	가드레일	Guardrail	model-app-security	periodic
content-moderation	콘텐츠 조정	Content Moderation	model-app-security	periodic
training-data-poisoning	학습 데이터 오염	Training Data Poisoning	model-app-security	periodic
model-poisoning	모델 오염	Model Poisoning	model-app-security	periodic
model-backdoor	모델 백도어	Model Backdoor	model-app-security	periodic
adversarial-example	적대적 예시	Adversarial Example	model-app-security	evergreen
evasion-attack	회피 공격	Evasion Attack	model-app-security	periodic
model-extraction	모델 추출 공격	Model Extraction	model-app-security	periodic
membership-inference	멤버십 추론 공격	Membership Inference	model-app-security	periodic
model-inversion	모델 역추론 공격	Model Inversion	model-app-security	periodic
insecure-output-handling	안전하지 않은 출력 처리	Insecure Output Handling	model-app-security	periodic
excessive-agency	과도한 자율성	Excessive Agency	model-app-security	fast-changing
ai-supply-chain-vulnerability	AI 공급망 취약점	AI Supply Chain Vulnerability	model-app-security	fast-changing
sensitive-information-disclosure	민감정보 노출	Sensitive Information Disclosure	model-app-security	periodic
model-denial-of-service	모델 서비스 거부 공격	Model Denial of Service	model-app-security	periodic
prompt-leakage	프롬프트 유출	Prompt Leakage	model-app-security	fast-changing
rag-poisoning	RAG 오염	RAG Poisoning	model-app-security	fast-changing
ai-safety	AI 안전	AI Safety	alignment-misuse	periodic
hallucination	환각	Hallucination	alignment-misuse	periodic
ai-misuse	AI 오용	AI Misuse	alignment-misuse	fast-changing
dual-use-ai	이중용도 AI	Dual-Use AI	alignment-misuse	fast-changing
catastrophic-ai-risk	파국적 AI 위험	Catastrophic AI Risk	alignment-misuse	fast-changing
deceptive-alignment	기만적 정렬	Deceptive Alignment	alignment-misuse	periodic
goal-misgeneralization	목표 오일반화	Goal Misgeneralization	alignment-misuse	periodic
specification-gaming	명세 편법 수행	Specification Gaming	alignment-misuse	evergreen
reward-tampering	보상 변조	Reward Tampering	alignment-misuse	periodic
corrigibility	교정 가능성	Corrigibility	alignment-misuse	periodic
scalable-oversight	확장 가능한 감독	Scalable Oversight	alignment-misuse	periodic
capability-control	능력 통제	Capability Control	alignment-misuse	periodic
ai-control-problem	AI 통제 문제	AI Control Problem	alignment-misuse	periodic
emergent-misalignment	창발적 오정렬	Emergent Misalignment	alignment-misuse	fast-changing
alignment-tax	정렬 비용	Alignment Tax	alignment-misuse	periodic
privacy	개인정보 보호	Privacy	privacy	periodic
personally-identifiable-information	개인 식별 정보	Personally Identifiable Information	privacy	periodic
anonymization	익명화	Anonymization	privacy	evergreen
pseudonymization	가명화	Pseudonymization	privacy	evergreen
differential-privacy	차등 개인정보 보호	Differential Privacy	privacy	evergreen
data-minimization	데이터 최소화	Data Minimization	privacy	evergreen
data-retention	데이터 보존	Data Retention	privacy	periodic
right-to-deletion	삭제권	Right to Deletion	privacy	fast-changing
data-consent	데이터 동의	Data Consent	privacy	periodic
federated-analytics	연합 분석	Federated Analytics	privacy	periodic
secure-aggregation	보안 집계	Secure Aggregation	privacy	evergreen
privacy-attack	개인정보 공격	Privacy Attack	privacy	periodic
memorized-data-extraction	암기 데이터 추출	Memorized Data Extraction	privacy	periodic
confidential-computing	기밀 컴퓨팅	Confidential Computing	privacy	periodic
privacy-audit	개인정보 감사	Privacy Audit	privacy	periodic
bias-fairness	편향과 공정성	Bias and Fairness	fairness	periodic
algorithmic-bias	알고리즘 편향	Algorithmic Bias	fairness	evergreen
data-bias	데이터 편향	Data Bias	fairness	evergreen
representation-bias	표현 편향	Representation Bias	fairness	evergreen
measurement-bias	측정 편향	Measurement Bias	fairness	evergreen
selection-bias	선택 편향	Selection Bias	fairness	evergreen
historical-bias	역사적 편향	Historical Bias	fairness	evergreen
demographic-parity	인구통계학적 동등성	Demographic Parity	fairness	evergreen
equalized-odds	동등 오즈	Equalized Odds	fairness	evergreen
equality-of-opportunity	기회 균등	Equality of Opportunity	fairness	evergreen
disparate-impact	차별적 영향	Disparate Impact	fairness	periodic
fairness-through-unawareness	비인지에 의한 공정성	Fairness Through Unawareness	fairness	evergreen
intersectional-fairness	교차 공정성	Intersectional Fairness	fairness	periodic
fairness-metric	공정성 지표	Fairness Metric	fairness	evergreen
bias-mitigation	편향 완화	Bias Mitigation	fairness	periodic
explainable-ai	설명 가능한 AI	Explainable AI	transparency	periodic
ai-interpretability	AI 해석 가능성	AI Interpretability	transparency	periodic
model-transparency	모델 투명성	Model Transparency	transparency	periodic
model-card	모델 카드	Model Card	transparency	periodic
datasheet-for-datasets	데이터셋 데이터시트	Datasheet for Datasets	transparency	periodic
system-card	시스템 카드	System Card	transparency	periodic
ai-disclosure	AI 사용 고지	AI Disclosure	transparency	fast-changing
decision-provenance	의사결정 출처 추적	Decision Provenance	transparency	periodic
uncertainty-communication	불확실성 소통	Uncertainty Communication	transparency	evergreen
algorithmic-contestability	알고리즘 이의제기 가능성	Algorithmic Contestability	transparency	periodic
ai-governance	AI 거버넌스	AI Governance	governance-risk	periodic
nist-ai-risk-management-framework	NIST AI 위험 관리 프레임워크	NIST AI Risk Management Framework	governance-risk	periodic
ai-risk-assessment	AI 위험 평가	AI Risk Assessment	governance-risk	periodic
algorithmic-impact-assessment	알고리즘 영향 평가	Algorithmic Impact Assessment	governance-risk	periodic
ai-risk-register	AI 위험 대장	AI Risk Register	governance-risk	periodic
ai-governance-framework	AI 거버넌스 프레임워크	AI Governance Framework	governance-risk	periodic
algorithmic-audit	알고리즘 감사	Algorithmic Audit	governance-risk	periodic
ai-accountability	AI 책임성	AI Accountability	governance-risk	periodic
human-oversight	인간 감독	Human Oversight	governance-risk	periodic
acceptable-use-policy	허용 사용 정책	Acceptable Use Policy	governance-risk	periodic
ai-policy-enforcement	AI 정책 집행	AI Policy Enforcement	governance-risk	periodic
ai-compliance-monitoring	AI 준수 모니터링	AI Compliance Monitoring	governance-risk	fast-changing
ai-regulatory-classification	AI 규제 분류	AI Regulatory Classification	governance-risk	fast-changing
ai-incident-reporting	AI 사고 보고	AI Incident Reporting	governance-risk	fast-changing
third-party-ai-risk	제3자 AI 위험	Third-Party AI Risk	governance-risk	periodic
ai-red-teaming	AI 레드팀 평가	AI Red Teaming	redteam-incidents	periodic
adversarial-testing	적대적 테스트	Adversarial Testing	redteam-incidents	periodic
ai-threat-modeling	AI 위협 모델링	AI Threat Modeling	redteam-incidents	periodic
abuse-testing	오용 테스트	Abuse Testing	redteam-incidents	periodic
llm-penetration-testing	LLM 침투 테스트	LLM Penetration Testing	redteam-incidents	fast-changing
safety-evaluation	안전 평가	Safety Evaluation	redteam-incidents	periodic
ai-incident-response	AI 사고 대응	AI Incident Response	redteam-incidents	periodic
coordinated-vulnerability-disclosure	조정된 취약점 공개	Coordinated Vulnerability Disclosure	redteam-incidents	evergreen
ai-security-monitoring	AI 보안 모니터링	AI Security Monitoring	redteam-incidents	periodic
defense-in-depth-for-ai	AI 심층 방어	Defense in Depth for AI	redteam-incidents	periodic
